Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns),Operational
10,104.10869349345931,159.3224799941886,4.821166948318812,-0.349040285,0.010099999999999998,0.015000000000000013,0.0052,817.7777777777777,0.00052495,0.00052495,0.00052495,10_12:0.007585247476808582;10_7:0.007454357201728434,10_12:298.66666666666663;10_7:266.66666666666663,TRUE
11,135.90588474595242,261.40107753247673,5.162114112,-0.341396749,0.10749999999999993,0.1092,0.1058,817.7777777777777,0.000173685,0.000173685,0.000173685,11_14:0.00751358908391217;11_8:0.0037654709300624367,11_14:728.8888888888888;11_8:280.88888888888886,TRUE
12,92.33507027172999,175.02736701157062,4.718543322421164,-0.349129498,0.0186,0.0214,0.015800000000000036,817.7777777777777,0.000331769,0.000331769,0.000331769,12_13:0.008538435545305423;12_10:0.007585247476808582;12_15:0.009260184888248313,12_13:437.3333333333333;12_10:330.66666666666663;12_15:408.88888888888886,TRUE
13,105.72866913806861,28.88010657641459,4.9630385470184954,-0.343805793,0.0788,0.084,0.0736,817.7777777777777,0.000852111,0.000852111,0.000852111,13_12:0.008538435545305423;13_14:0.0068435402502700915,13_12:405.3333333333333;13_14:366.22222222222223,TRUE
14,183.2413811957878,25.52453032455876,5.0466100117416905,-0.344115225,0.0069,0.0074,0.0064,817.7777777777777,0.000164537,0.000164537,0.000164537,14_13:0.0068435402502700915;14_11:0.00751358908391217;14_16:0.02162346609115995,14_13:334.22222222222223;14_11:696.8888888888888;14_16:440.88888888888886,TRUE
15,223.72353230019326,33.18533577012769,4.923606129158038,-0.31835991,0.0483,0.0286,0.068,817.7777777777777,0.000518793,0.000518793,0.000518793,15_12:0.009260184888248313;15_18:0.011721059323599903,15_12:376.88888888888886;15_18:636.4444444444445,TRUE
16,152.40894774747156,257.0313119042525,4.883174307638976,-0.34591325,0.0076,0.0074,0.0078,817.7777777777777,0.000213807,0.000213807,0.000213807,16_19:0.010271352992994559;16_14:0.02162346609115995,16_19:359.1111111111111;16_14:472.88888888888886,TRUE
17,103.77178833281785,80.10601253988705,5.222458413204783,-0.339308443,0.0231,0.023,0.0232,817.7777777777777,0.000231888,0.000231888,0.000231888,17_18:0.008977169999207668,17_18:462.2222222222222,TRUE
18,164.64080116254004,148.64886397140188,4.967717849175454,-0.345761425,0.016699999999999937,0.0194,0.014000000000000012,817.7777777777777,0.000457061,0.000457061,0.000457061,18_17:0.008977169999207668;18_15:0.011721059323599903;18_21:0.004879174423135874,18_17:494.2222222222222;18_15:604.4444444444445;18_21:241.77777777777777,TRUE
19,68.99206949052726,92.50521544579455,5.002429851591834,-0.345052026,0.0098,0.011199999999999988,0.0084,817.7777777777777,0.000767342,0.000767342,0.000767342,19_16:0.010271352992994559;19_22:0.00967097943143308;19_20:1,19_16:327.1111111111111;19_22:248.88888888888889;19_20:380.4444444444444,TRUE
20,140.4752612951113,140.18757844487533,5.095784522364241,-0.341017528,0.0069,0.008,0.0058,817.7777777777777,0.000167665,0.000167665,0.000167665,20_19:1,20_19:348.4444444444444,TRUE
21,100.03625657852695,35.745108641512836,4.8392706227926015,-0.347555681,0.0084,0.010600000000000054,0.0062,817.7777777777777,0.000155319,0.000155319,0.000155319,21_23:0.006776543427787746;21_18:0.004879174423135874,21_23:576;21_18:305.77777777777777,TRUE
22,112.1153089918194,94.40987939,4.919537337494071,-0.346522729,0.015700000000000047,0.014399999999999968,0.017,817.7777777777777,0.000218525,0.000218525,0.000218525,22_19:0.00967097943143308;22_25:0.012101028649466411,22_19:280.88888888888886;22_25:344.88888888888886,TRUE
23,106.91472411517066,73.18414584300524,4.920253922408509,-0.344336235,0.011900000000000022,0.014800000000000035,0.009,817.7777777777777,0.000199489,0.000199489,0.000199489,23_21:0.006776543427787746;23_24:0.007891977180494558,23_21:608;23_24:352,TRUE
24,132.87000911481235,39.40363477581147,4.991652141243636,-0.34429521,0.0084,0.011600000000000055,0.0052,817.7777777777777,0.0002391,0.0002391,0.0002391,24_23:0.007891977180494558;24_25:0.010850636646065975,24_23:320;24_25:576,TRUE
25,167.13078775727726,112.63326033974518,4.812906482996879,-0.346984011,0.0086,0.0108,0.0064,817.7777777777777,0.000240849,0.000240849,0.000240849,25_22:0.012101028649466411;25_24:0.010850636646065975;25_26:0.007967154050922104,25_22:312.88888888888886;25_24:608;25_26:259.55555555555554,TRUE
26,54.12478112511735,23.554945891222594,5.019579196129409,-0.343277579,0.010199999999999987,0.013800000000000034,0.0066,817.7777777777777,0.001109886,0.001109886,0.001109886,26_25:0.007967154050922104,26_25:195.55555555555554,TRUE
